Date,Sales
2024-01-01,150.5
2024-01-02,200.0
2024-01-03,210.0
2024-01-04,180.5
2024-01-05,250.0
2024-01-06,300.0
2024-01-07,310.5
2024-01-08,290.0
2024-01-09,320.0
2024-01-10,340.5
2024-01-11,360.0
2024-01-12,380.0
2024-01-13,400.5
2024-01-14,410.0
2024-01-15,450.0
2024-01-16,420.5
2024-01-17,470.0
2024-01-18,480.0
2024-01-19,490.5
2024-01-20,510.0
2024-01-21,530.0
2024-01-22,540.5
2024-01-23,550.0
2024-01-24,560.0
2024-01-25,580.5
2024-01-26,600.0
2024-01-27,620.0
2024-01-28,640.5
2024-01-29,660.0
2024-01-30,680.0
2024-01-31,700.5
